DATA_COMMENTO;CODICE_PRODOTTO;NOME_PRODOTTO;CATEGORIA_PRODOTTO;SITO_ORIGINE;RATING_ORIGINALE;TESTO_COMMENTO;ID_PRODOTTO;SITO_ECOMMERCE;TESTO_ORIGINALE
2024-10-16;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Aromatisch, heel veel op het fruit, peche.;;;
2025-11-23;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Heel mooi glas, onbekend in Nederland maar een aanrader als je een betere mousserende wijn zoekt!;;;
2022-06-03;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.6;Suuuuper Prosecco die totaal niet naar prosecco smaakt. Vanille, fris, helemaal top!;;;
2018-08-09;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Winnaartje op de agri. Topfles van het huis waar we nu alle wijnen van geproefd hebben. Tropisch, beetje frambozensnoepje. Heerlijke afdronk. Genieten. ;;;
2023-01-18;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Prijzige (€29,95) Prosecco, maar elke cent waard. Lastig uit te leggen waarom hij veel beter is dan de meeste. Ik denk dan toch aan beduidend meer verfijning, subtiliteit.;;;
2021-07-02;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Heerlijk bloemig. Lekker bij kersen. Wordt steeds lekkerder;;;
2023-09-25;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;3.7;Zeer lichtgeel, groene schijn, in neus aromatisch, appel, muskaat, bloemen, mineralen, peer, kruisbes, litchi, in mond mooie zuren, goede fruitmolligheid, bittertje in de afdronk, middellang, delicate wijn.;;;
2020-12-27;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Bright pale straw eye with lovely white flowers, pear and apple nose. Initial tongue had slight toast, smooth creamy mouthfeel, citrus notes, lime, zesty green apple and even some grapefruit. Very well balanced, mid acidity, mid (-) dryness and a lovely smooth finish. One of the best Prosecco Superiore as always. ;;;
2016-03-04;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;creamy apple and peach lot of flowers off dry high intensity m+ finish m+ body high acidity 11 g/l of sugar...;;;
2017-06-19;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;High elevation prosecco superiore. Cartizze is finally realizing ts potential, this bubbly is a thing of beauty!;;;
2022-12-05;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.5;Light, fresh, good balance… citrus. I loved it. ;;;
2016-04-10;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.0;Cartizze by the book;;;
2025-10-16;VS-CART-LR-01;Cartizze Vigna La Rivetta;Bollicine;Vivino;4.2;Easily a contender of blanc des blancs from any French producer. Minuscule hill in Veneto, it was a lovely visit to their cellar built out of WWI tunnels.  White flowers (jasmine), crushed stones, a faint lychee on the nose. No oaking thank God. White peaches, elegant minerality, banana, melon, young apricots, very light citrusy acidity, subtle bitterness, definitely dry but with a sweet note. Yes a bit of brioche.  Would choose this dude any day against non-pinot noir-dominant champagne;;;
